Name,Governance Type,Governing Body,Governing Body Members,Role,Annual Compensation,Elected or Appointed,Years in Office
RUBIO CANON LAND & WATER ASSOCIATION,Mutual Water Company,Board of Directors,Dr. Janet Fahey,President,"$2,900",No Data,32
RUBIO CANON LAND & WATER ASSOCIATION,Mutual Water Company,Board of Directors,Wallace Weaver,Board Director,"$3,100",No Data,No Data
RURBAN HOMES MUTUAL WATER COMPANY,Mutual Water Company,Officers,Michael Cox,Chief Executive Officer,$0,No Data,No Data
RURBAN HOMES MUTUAL WATER COMPANY,Mutual Water Company,Officers,Howard Owens,Secretary,$0,No Data,No Data
RURBAN HOMES MUTUAL WATER COMPANY,Mutual Water Company,Officers,Jim McDowell,Chief Financial Officer,$0,No Data,No Data
"SAN FERNANDO-CITY, WATER DEPT.",City/ Municipal,City Council,Mary Mendoza,Councilmember,"$8,760",Appointed,1
"SAN FERNANDO-CITY, WATER DEPT.",City/ Municipal,City Council,Hector Pacheco,Vice Mayor,"$8,760",Elected,2
"SAN FERNANDO-CITY, WATER DEPT.",City/ Municipal,City Council,Joel Fajardo,Mayor,"$8,760",Elected,8
"SAN FERNANDO-CITY, WATER DEPT.",City/ Municipal,City Council,Robert Gonzales,Councilmember,"$8,760",Elected,8
"SAN FERNANDO-CITY, WATER DEPT.",City/ Municipal,City Council,Sylvia Ballin,Councilmember,"$8,760",Elected,9
SAN GABRIEL COUNTY WATER DISTRICT,Special District,Board of Directors,Larry Taylor,President,"$2,200",No Data,No Data
SAN GABRIEL COUNTY WATER DISTRICT,Special District,Board of Directors,Eric Chan,Vice President,"$2,200",No Data,No Data
SAN GABRIEL COUNTY WATER DISTRICT,Special District,Board of Directors,Sabino Cici,Director,"$2,200",No Data,No Data
SAN GABRIEL COUNTY WATER DISTRICT,Special District,Board of Directors,Mary Cammarano,Director,"$2,200",No Data,No Data
SAN GABRIEL COUNTY WATER DISTRICT,Special District,Board of Directors,Charles Delatorre,Director,"$2,200",No Data,No Data
San Gabriel Valley Water Company El Monte,IOU,N/A,N/A,N/A,No Data,No Data,No Data
San Gabriel Valley Water Company Montebello,IOU,N/A,N/A,N/A,No Data,No Data,No Data
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,Jeff Ford,Director,"$15,962",Appointed,1
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,BJ Atkins,Director,"$15,962",Appointed,2
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,Robert Diprimio,Director,"$15,962",Elected,6
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,Gary Martin,President,"$15,962",No Data,7
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,Kathy Colley,Director,"$15,962",Elected,11
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,Daniel Mortensen,Director,"$15,962",Elected,13
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,Ed Colley,Director,"$15,962",No Data,16
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,Maria Gutzeit,Vice President,"$15,962",Elected,17
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,RJ Kelly,Director,"$15,962",No Data,17
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,Lynne Plambeck,Director,"$15,962",Elected,27
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,William Cooper,Director,"$15,962",No Data,27
Santa Clarita Valley Water Agency Castaic,Special District,Board of Directors,Jerry Gladbach,Vice President,"$15,962",No Data,34
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,Jeff Ford,Director,"$15,962",Appointed,1
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,BJ Atkins,Director,"$15,962",Appointed,2
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,Robert Diprimio,Director,"$15,962",Elected,6
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,Gary Martin,President,"$15,962",No Data,7
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,Kathy Colley,Director,"$15,962",Elected,11
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,Daniel Mortensen,Director,"$15,962",Elected,13
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,Ed Colley,Director,"$15,962",No Data,16
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,Maria Gutzeit,Vice President,"$15,962",Elected,17
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,RJ Kelly,Director,"$15,962",No Data,17
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,Lynne Plambeck,Director,"$15,962",Elected,27
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,William Cooper,Director,"$15,962",No Data,27
Santa Clarita Valley Water Agency Imported Division,Special District,Board of Directors,Jerry Gladbach,Vice President,"$15,962",No Data,34
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,Jeff Ford,Director,"$15,962",Appointed,1
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,BJ Atkins,Director,"$15,962",Appointed,2
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,Robert Diprimio,Director,"$15,962",Elected,6
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,Gary Martin,President,"$15,962",No Data,7
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,Kathy Colley,Director,"$15,962",Elected,11
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,Daniel Mortensen,Director,"$15,962",Elected,13
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,Ed Colley,Director,"$15,962",No Data,16
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,Maria Gutzeit,Vice President,"$15,962",Elected,17
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,RJ Kelly,Director,"$15,962",No Data,17
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,Lynne Plambeck,Director,"$15,962",Elected,27
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,William Cooper,Director,"$15,962",No Data,27
Santa Clarita Valley Water Agency Newhall,Special District,Board of Directors,Jerry Gladbach,Vice President,"$15,962",No Data,34
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,Jeff Ford,Director,"$15,962",Appointed,1
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,BJ Atkins,Director,"$15,962",Appointed,2
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,Robert Diprimio,Director,"$15,962",Elected,6
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,Gary Martin,President,"$15,962",No Data,7
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,Kathy Colley,Director,"$15,962",Elected,11
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,Daniel Mortensen,Director,"$15,962",Elected,13
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,Ed Colley,Director,"$15,962",No Data,16
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,Maria Gutzeit,Vice President,"$15,962",Elected,17
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,RJ Kelly,Director,"$15,962",No Data,17
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,Lynne Plambeck,Director,"$15,962",Elected,27
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,William Cooper,Director,"$15,962",No Data,27
Santa Clarita Valley Water Agency Pinetree,Special District,Board of Directors,Jerry Gladbach,Vice President,"$15,962",No Data,34
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,Jeff Ford,Director,"$15,962",Appointed,1
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,BJ Atkins,Director,"$15,962",Appointed,2
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,Robert Diprimio,Director,"$15,962",Elected,6
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,Gary Martin,President,"$15,962",No Data,7
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,Kathy Colley,Director,"$15,962",Elected,11
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,Daniel Mortensen,Director,"$15,962",Elected,13
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,Ed Colley,Director,"$15,962",No Data,16
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,Maria Gutzeit,Vice President,"$15,962",Elected,17
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,RJ Kelly,Director,"$15,962",No Data,17
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,Lynne Plambeck,Director,"$15,962",Elected,27
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,William Cooper,Director,"$15,962",No Data,27
Santa Clarita Valley Water Agency Santa Clarita,Special District,Board of Directors,Jerry Gladbach,Vice President,"$15,962",No Data,34
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,Jeff Ford,Director,"$15,962",Appointed,1
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,BJ Atkins,Director,"$15,962",Appointed,2
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,Robert Diprimio,Director,"$15,962",Elected,6
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,Gary Martin,President,"$15,962",No Data,7
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,Kathy Colley,Director,"$15,962",Elected,11
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,Daniel Mortensen,Director,"$15,962",Elected,13
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,Ed Colley,Director,"$15,962",No Data,16
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,Maria Gutzeit,Vice President,"$15,962",Elected,17
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,RJ Kelly,Director,"$15,962",No Data,17
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,Lynne Plambeck,Director,"$15,962",Elected,27
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,William Cooper,Director,"$15,962",No Data,27
Santa Clarita Valley Water Agency Tesoro Del Valle,Special District,Board of Directors,Jerry Gladbach,Vice President,"$15,962",No Data,34
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,Jeff Ford,Director,"$15,962",Appointed,1
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,BJ Atkins,Director,"$15,962",Appointed,2
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,Robert Diprimio,Director,"$15,962",Elected,6
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,Gary Martin,President,"$15,962",No Data,7
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,Kathy Colley,Director,"$15,962",Elected,11
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,Daniel Mortensen,Director,"$15,962",Elected,13
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,Ed Colley,Director,"$15,962",No Data,16
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,Maria Gutzeit,Vice President,"$15,962",Elected,17
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,RJ Kelly,Director,"$15,962",No Data,17
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,Lynne Plambeck,Director,"$15,962",Elected,27
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,William Cooper,Director,"$15,962",No Data,27
Santa Clarita Valley Water Agency Valencia,Special District,Board of Directors,Jerry Gladbach,Vice President,"$15,962",No Data,34
"SANTA FE SPRINGS- CITY, WATER DEPT",City/ Municipal,City Council,John M. Mora,Mayor Pro Tem,"$11,650",Elected,2
"SANTA FE SPRINGS- CITY, WATER DEPT",City/ Municipal,City Council,Annette Rodriguez,Council Member,"$11,650",Elected,2
"SANTA FE SPRINGS- CITY, WATER DEPT",City/ Municipal,City Council,Juanita A. Truillo,Council Member,"$11,650",Elected,11
"SANTA FE SPRINGS- CITY, WATER DEPT",City/ Municipal,City Council,"William ""Bill"" Rounds",Mayor,"$11,650",Elected,13
"SANTA FE SPRINGS- CITY, WATER DEPT",City/ Municipal,City Council,Joe Angel Zamora,Council Member,"$11,650",Elected,No Data
"SANTA MONICA-CITY, WATER DIVISION",City/ Municipal,City Council,Kristin McCowan,Councilmember,"$14,616",Appointed,0
"SANTA MONICA-CITY, WATER DIVISION",City/ Municipal,City Council,Ana Maria Jara,Councilmember,"$14,616",Appointed,1
"SANTA MONICA-CITY, WATER DIVISION",City/ Municipal,City Council,Sue Himmelrich,Councilmember,"$14,616",Elected,6
"SANTA MONICA-CITY, WATER DIVISION",City/ Municipal,City Council,Ted Winterer,Councilmember,"$14,616",Elected,8
"SANTA MONICA-CITY, WATER DIVISION",City/ Municipal,City Council,Terry O-Day,Mayor Pro Tem,"$14,616",Elected,10
"SANTA MONICA-CITY, WATER DIVISION",City/ Municipal,City Council,Gleam Davis,Councilmember,"$14,616",Elected,11
"SANTA MONICA-CITY, WATER DIVISION",City/ Municipal,City Council,Kevin McKeown,Mayor,"$17,544",Elected,22
SHADOW ACRES MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Michael Sullivan,Director,"$1,200.00",No Data,No Data
SHADOW ACRES MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Robert Hightower,President,"$2,300.00",No Data,No Data
SHADOW ACRES MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Tom Horton,Vice President,"$1,200.00",No Data,No Data
SHADOW ACRES MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Michael Sabol,Secretary/ Treasurer,"$1,200.00",No Data,No Data
SHADOW ACRES MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Giovanni Simi,Director,$700.00,No Data,No Data
SHADOW ACRES MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Joseph Ware III,Director,"$1,500.00",No Data,No Data
"SIERRA MADRE-CITY, WATER DEPT",City/ Municipal,City Council,Rachelle Arizmendi,Mayor Pro Tem,No Data,Elected,6
"SIERRA MADRE-CITY, WATER DEPT",City/ Municipal,City Council,Gene Goss,Council Member,No Data,Elected,6
"SIERRA MADRE-CITY, WATER DEPT",City/ Municipal,City Council,John Capoccia,Mayor,No Data,Elected,8
"SIERRA MADRE-CITY, WATER DEPT",City/ Municipal,City Council,Herebian,Council Member,No Data,Elected,8
"SIERRA MADRE-CITY, WATER DEPT",City/ Municipal,City Council,N/A,Council Member,No Data,No Data,No Data
"SIGNAL HILL - CITY, WATER DEPT",City/ Municipal,City Council,Keir Jones,Council Member,"$8,009",Elected,1
"SIGNAL HILL - CITY, WATER DEPT",City/ Municipal,City Council,Lori Y. Woods,Council Member,"$8,009",Elected,7
"SIGNAL HILL - CITY, WATER DEPT",City/ Municipal,City Council,Edward H. J. Wilson,Council Member,"$8,009",Elected,23
"SIGNAL HILL - CITY, WATER DEPT",City/ Municipal,City Council,Tina L. Hansen,Vice Mayor,"$8,009",Elected,26
SLEEPY VALLEY WATER COMPANY INC,Mutual Water Company,Officers,Daniel O'Conner,President,$0,No Data,No Data
SLEEPY VALLEY WATER COMPANY INC,Mutual Water Company,Officers,David Kuhn,Treasurer,$0,No Data,No Data
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,Jeanne M. Beliveau-Dunn,Director,No Data,Elected,1
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,Carey Smith,Director,No Data,Elected,1
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,Keith Trent,Director,No Data,Elected,2
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,Michael Camunez,Director,No Data,Elected,3
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,Timothy O'Toole,Director,No Data,Elected,3
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,James Morris,Director,No Data,Elected,4
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,Kevin Payne,Director,No Data,Elected,4
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,William Sullivan,Director,No Data,Elected,5
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,Pedro Pizarro,Director; President (Edison International),No Data,Elected,6
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,Linda Stuntz,Director,No Data,Elected,6
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,Peter Taylor,Director,No Data,Elected,9
SO. CAL. EDISON CO.-SANTA CATALINA,IOU,Board of Directors,Vanessa Chang,Director,No Data,Elected,13
"SOUTH GATE-CITY, WATER DEPT",City/ Municipal,City Council,Al Rios,Vice Mayor,"$7,800",Elected,3
"SOUTH GATE-CITY, WATER DEPT",City/ Municipal,City Council,Denise Diaz,Council Member,"$7,800",Elected,3
"SOUTH GATE-CITY, WATER DEPT",City/ Municipal,City Council,Gil Hurtado,Council Member,"$7,800",Elected,15
"SOUTH GATE-CITY, WATER DEPT",City/ Municipal,City Council,Maria Davila,Mayor,"$7,800",Elected,17
"SOUTH GATE-CITY, WATER DEPT",City/ Municipal,City Council,Maria del Pilar Avalos,Council Member,"$7,800",No Data,No Data
SOUTH MONTEBELLO IRRIGATION DIST.,Irrigation District,Board of Directors,Darrell Heacock,Director,"$2,280",Elected,No Data
SOUTH MONTEBELLO IRRIGATION DIST.,Irrigation District,Board of Directors,Annette Sanchez,Director,"$2,280",Elected,No Data
SOUTH MONTEBELLO IRRIGATION DIST.,Irrigation District,Board of Directors,Harris Mataalii,Director,"$2,090",Elected,No Data
STERLING MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Ignatius Kelly,President,$0,No Data,No Data
STERLING MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Frank Barney,Treasurer,$0,No Data,No Data
STERLING MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Cuitlahuac Dominguez,Board Member,$0,No Data,No Data
SUBURBAN WATER SYSTEMS Covina Hills,IOU,Board of Directors,Hilda Pinnix-Ragland,Director,No Data,No Data,0
SUBURBAN WATER SYSTEMS Covina Hills,IOU,Board of Directors,Karen J. Plessinger,Chairman of the Board,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Covina Hills,IOU,Board of Directors,Randy Allan Daniels,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Covina Hills,IOU,Board of Directors,Sharina Maye Edwards,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Covina Hills,IOU,Board of Directors,Peter Kind,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Covina Hills,IOU,Board of Directors,Hai Gi-Li,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Covina Hills,IOU,Board of Directors,Rob Maclean,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Covina Hills,IOU,Board of Directors,Michael Quinn,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Glendora,IOU,Board of Directors,Hilda Pinnix-Ragland,Director,No Data,No Data,0
SUBURBAN WATER SYSTEMS Glendora,IOU,Board of Directors,Karen J. Plessinger,Chairman of the Board,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Glendora,IOU,Board of Directors,Randy Allan Daniels,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Glendora,IOU,Board of Directors,Sharina Maye Edwards,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Glendora,IOU,Board of Directors,Peter Kind,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Glendora,IOU,Board of Directors,Hai Gi-Li,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Glendora,IOU,Board of Directors,Rob Maclean,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Glendora,IOU,Board of Directors,Michael Quinn,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS La Mirada,IOU,Board of Directors,Hilda Pinnix-Ragland,Director,No Data,No Data,0
SUBURBAN WATER SYSTEMS La Mirada,IOU,Board of Directors,Karen J. Plessinger,Chairman of the Board,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS La Mirada,IOU,Board of Directors,Randy Allan Daniels,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS La Mirada,IOU,Board of Directors,Sharina Maye Edwards,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS La Mirada,IOU,Board of Directors,Peter Kind,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS La Mirada,IOU,Board of Directors,Hai Gi-Li,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS La Mirada,IOU,Board of Directors,Rob Maclean,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS La Mirada,IOU,Board of Directors,Michael Quinn,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS San Jose,IOU,Board of Directors,Hilda Pinnix-Ragland,Director,No Data,No Data,0
SUBURBAN WATER SYSTEMS San Jose,IOU,Board of Directors,Karen J. Plessinger,Chairman of the Board,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS San Jose,IOU,Board of Directors,Randy Allan Daniels,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS San Jose,IOU,Board of Directors,Sharina Maye Edwards,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS San Jose,IOU,Board of Directors,Peter Kind,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS San Jose,IOU,Board of Directors,Hai Gi-Li,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS San Jose,IOU,Board of Directors,Rob Maclean,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS San Jose,IOU,Board of Directors,Michael Quinn,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Whittier,IOU,Board of Directors,Hilda Pinnix-Ragland,Director,No Data,No Data,0
SUBURBAN WATER SYSTEMS Whittier,IOU,Board of Directors,Karen J. Plessinger,Chairman of the Board,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Whittier,IOU,Board of Directors,Randy Allan Daniels,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Whittier,IOU,Board of Directors,Sharina Maye Edwards,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Whittier,IOU,Board of Directors,Peter Kind,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Whittier,IOU,Board of Directors,Hai Gi-Li,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Whittier,IOU,Board of Directors,Rob Maclean,Director,No Data,No Data,No Data
SUBURBAN WATER SYSTEMS Whittier,IOU,Board of Directors,Michael Quinn,Director,No Data,No Data,No Data
"SUNDALE MUTUAL WATER COMPANY A, B",Mutual Water Company,Board of Directors,Earl Adams, President,$0.00,No Data,No Data
"SUNDALE MUTUAL WATER COMPANY A, B",Mutual Water Company,Board of Directors,John Goit,Vice President,$0.00,No Data,No Data
"SUNDALE MUTUAL WATER COMPANY A, B",Mutual Water Company,Board of Directors,William Shattuck,Secretary,$0.00,No Data,No Data
"SUNDALE MUTUAL WATER COMPANY A, B",Mutual Water Company,Board of Directors,Michael Ennis,Treasurer,$0.00,No Data,No Data
"SUNDALE MUTUAL WATER COMPANY A, B",Mutual Water Company,Board of Directors,Bruce Nelson,Director,$0.00,No Data,No Data
"SUNDALE MUTUAL WATER COMPANY A, B",Mutual Water Company,Board of Directors,Paul Bean,Director,$0.00,No Data,No Data
"SUNDALE MUTUAL WATER COMPANY A, B",Mutual Water Company,Board of Directors,N/A,Vacant,$0.00,No Data,No Data
SUNNY SLOPE WATER COMPANY,Mutual Water Company,Board of Directors,John Shaw,Assistant Secretary/ Treasurer,"$10,100.00",No Data,No Data
SUNNY SLOPE WATER COMPANY,Mutual Water Company,Board of Directors,Steven Seiler,President,"$10,700.00",No Data,No Data
SUNNY SLOPE WATER COMPANY,Mutual Water Company,Board of Directors,Lap Ng,Vice President,"$9,800.00",No Data,No Data
SUNNY SLOPE WATER COMPANY,Mutual Water Company,Board of Directors,Mark Sedlacek,Secretary,"$9,800.00",No Data,No Data
SUNNY SLOPE WATER COMPANY,Mutual Water Company,Board of Directors,William Frank,Director Emeritus,$0.00,No Data,No Data
SUNNY SLOPE WATER COMPANY,Mutual Water Company,Board of Directors,Peter Jeong,Treasurer,"$9,800.00",No Data,No Data
SUNNYSIDE FARMS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Linda Enger,President,$500.00,No Data,No Data
SUNNYSIDE FARMS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Robert Witt,Vice President,$455.00,No Data,No Data
SUNNYSIDE FARMS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Dorothy Schoepner,Secretary,$455.00,No Data,No Data
SUNNYSIDE FARMS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Robert Davis,Treasurer,$0.00,No Data,No Data
SUNNYSIDE FARMS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Robert Cahoon,Director,$455.00,No Data,No Data
THREE VALLEYS WATER DISTRICT,Wholesaler,Board of Directors,Jody Roberto,Director,"$24,771",Appointed,0
THREE VALLEYS WATER DISTRICT,Wholesaler,Board of Directors,Danielle Soto,Director,"$24,771",Elected,0
THREE VALLEYS WATER DISTRICT,Wholesaler,Board of Directors,Mike Ti,Director,"$24,771",Elected,0
THREE VALLEYS WATER DISTRICT,Wholesaler,Board of Directors,Carlos Goytia,Secretary,"$24,771",Elected,9
THREE VALLEYS WATER DISTRICT,Wholesaler,Board of Directors,Brian Bowcock,Treasurer,"$24,771",Elected,17
THREE VALLEYS WATER DISTRICT,Wholesaler,Board of Directors,Bob Kuhn,President,"$24,771",Elected,23
THREE VALLEYS WATER DISTRICT,Wholesaler,Board of Directors,David De Jesus,Vice President,"$24,771",Elected,23
"TORRANCE-CITY, WATER DEPT",City/ Municipal,City Council,Sharon Kalani,Councilmember,"$1,200",No Data,0
"TORRANCE-CITY, WATER DEPT",City/ Municipal,City Council,George Chen,Councilmember,"$1,200",No Data,2
"TORRANCE-CITY, WATER DEPT",City/ Municipal,City Council,Aurelio Mattucci,Councilmember,"$1,200",No Data,2
"TORRANCE-CITY, WATER DEPT",City/ Municipal,City Council,Heidi Ann Ashcroft,Councilmember,"$1,200",No Data,6
"TORRANCE-CITY, WATER DEPT",City/ Municipal,City Council,Tim Goodrich,Councilmember,"$1,200",No Data,6
"TORRANCE-CITY, WATER DEPT",City/ Municipal,City Council,Patrick Furey,Mayor,"$1,200",No Data,12
"TORRANCE-CITY, WATER DEPT",City/ Municipal,City Council,Mike Griffiths,Councilmember,"$1,200",No Data,No Data
Tract 180 Mutual Water Company,Mutual Water Company,Board of Directors,Jesus Carrera,Secretary/ Board Member,"$30,817",No Data,No Data
Tract 180 Mutual Water Company,Mutual Water Company,Board of Directors,Abel Gonzalez,Treasurer/ Board Member,"$30,817",No Data,No Data
Tract 180 Mutual Water Company,Mutual Water Company,Board of Directors,Luis E Gutierrez,Vice President/ Board Member,"$30,817",No Data,No Data
Tract 180 Mutual Water Company,Mutual Water Company,Board of Directors,George A Perez,President/ Board Member,"$30,817",No Data,No Data
Tract 180 Mutual Water Company,Mutual Water Company,Board of Directors,Lenora Winger,Board Member,"$30,817",No Data,No Data
Tract 349 Mutual Water Company,Mutual Water Company,Board of Directors/ Officers,Martin Susnir,President,"$108,437",No Data,No Data
Tract 349 Mutual Water Company,Mutual Water Company,Board of Directors/ Officers,Georgine Krulic,Secretary/ Treasurer,"$10,200",No Data,No Data
Tract 349 Mutual Water Company,Mutual Water Company,Board of Directors/ Officers,Carolyn Susnir,Director,"$7,800",No Data,No Data
